T [K],Cp [J kg^-1 K^-1],Cv [J kg^-1 K^-1],gamma,k [W m^-1 K^-1], mu [Pa s]
809.0909090909091,3446.4292184140627,3197.5765961956963,1.0778253826708757,0.1096583257335103,2.3502269629709713e-05
818.1818181818182,3474.589218740575,3225.7365965222084,1.0771459834899924,0.11129764523852362,2.3731360978093022e-05
827.2727272727274,3502.7497124522747,3253.8970902339083,1.0764783320791738,0.11293703180229898,2.3960375385335888e-05
836.3636363636364,3530.9108458094997,3282.0582235911334,1.0758221229683362,0.11457650661297396,2.418931349162355e-05
845.4545454545455,3559.072855040473,3310.220232822107,1.0751770591427412,0.116216100461299,2.441817566156022e-05
854.5454545454546,3587.2359876534842,3338.3833654351183,1.0745428535245325,0.11785584476486519,2.4646962205577707e-05
863.6363636363637,3615.4004013636136,3366.547779145247,1.07391923077995,0.11949576018403879,2.4875673661375295e-05
872.7272727272727,3643.5660756444577,3394.7134534260917,1.0733059286542177,0.12113584687274717,2.5104311034131904e-05
881.8181818181819,3671.7327784226095,3422.8801562042436,1.0727026979800331,0.12277608122621814,2.533287587416445e-05
890.909090909091,3699.900122591992,3451.047500373626,1.0721093007822766,0.12441642300396226,2.556137009589858e-05
900.0000000000001,3728.0677188123464,3479.21509659398,1.0715255065609435,0.12605683334145087,2.5789795526737136e-05
909.0909090909091,3756.235383743393,3507.3827615250266,1.0709510877877966,0.12769729859559673,2.6018153313907045e-05
918.1818181818182,3784.403308647669,3535.5506864293025,1.0703858166066043,0.1293378486888821,2.6246443473991886e-05
927.2727272727274,3812.57205888749,3563.7194366691238,1.0698294651531153,0.13097855485946913,2.647466496245397e-05
936.3636363636365,3840.7423007961274,3591.889678577761,1.0692818111042046,0.13261949535831474,2.670281654718511e-05
945.4545454545455,3868.914282325298,3620.061660106932,1.0687426473865682,0.13426069380428107,2.6930898362660813e-05
954.5454545454546,3897.0873440381533,3648.234721819787,1.068211790411949,0.13590206526436524,2.7158913259661417e-05
963.6363636363637,3925.2600315101085,3676.4074092917426,1.0676890764580163,0.13754343975962877,2.7386866200600554e-05
972.7272727272727,3953.4314291784276,3704.5788069600617,1.0671743361892663,0.1391847351047446,2.7614759905102815e-05
981.8181818181819,3981.603424128767,3732.750801910401,1.0666673548341359,0.1408262307923641,2.7842587981683594e-05
990.909090909091,4009.7802486526825,3760.927626434316,1.066167883813893,0.14246846541017344,2.807033756757709e-05
1000.0,4037.953033972559,3789.1004117541925,1.0656759112126981,0.1441101893328293,2.8298040868055263e-05
